#constelname,HIP
Aquarius,115033
Aquarius,115438
Aquarius,115669
Aquarius,116247
JUMP,JUMP
Aquarius,114855
Aquarius,114341
Aquarius,114375
Aquarius,114119
JUMP,JUMP
Ara,85792
Ara,85258
Ara,85267
Ara,85727
JUMP,JUMP
Ara,85258
Ara,83081
JUMP,JUMP
Ara,83153
Ara,83081
Ara,82363
JUMP,JUMP
Volans,41312
Volans,39794
Volans,37504
Volans,34481
Volans,39794
Volans,44382
Volans,41312
JUMP,JUMP
Volans,35228
Volans,39794
Volans,42425
JUMP,JUMP
Vulpecula,97886
Vulpecula,95771
Vulpecula,94703
JUMP,JUMP
Bootes,70497
Bootes,69732
Bootes,67927
Bootes,67459
JUMP,JUMP
Bootes,71075
Bootes,71053
Bootes,69673
Bootes,71795
Bootes,72105
Bootes,74666
Bootes,73555
Bootes,71075
Bootes,69732
JUMP,JUMP
Bootes,74666
Bootes,75411
JUMP,JUMP
Bootes,71053
Bootes,71284
Bootes,72105
JUMP,JUMP
Capricornus,107556
Capricornus,106985
Capricornus,105515
Capricornus,104139
Capricornus,100345
Capricornus,100064
JUMP,JUMP
Capricornus,105515
Capricornus,106039
Capricornus,105881
Capricornus,104139
Capricornus,104019
Capricornus,101027
Capricornus,100345
JUMP,JUMP
Capricornus,104019
Capricornus,104234
JUMP,JUMP
Capricornus,101027
Capricornus,102485
Capricornus,102978
JUMP,JUMP
Tucana,114996
Tucana,118322
Tucana,1599
Tucana,2484
Tucana,114996
Tucana,110130
JUMP,JUMP
Tucana,110838
Tucana,114996
JUMP,JUMP
Triangulum Australe,82273
Triangulum Australe,77952
Triangulum Australe,76440
Triangulum Australe,74946
Triangulum Australe,82273
JUMP,JUMP
Telescopium,89112
Telescopium,90422
Telescopium,90830
Telescopium,96341
Telescopium,95261
Telescopium,93148
Telescopium,90568
Telescopium,89112
